customer_id,signup_date,city,state,segment
CUST000001,2023-12-08,Cuttack,Odisha,Value
CUST000002,2023-03-22,Durgapur,West Bengal,Mainstream
CUST000003,2023-11-21,Panipat,Haryana,Mainstream
CUST000004,2023-07-29,Jalandhar,Punjab,Mainstream
CUST000005,2023-10-26,Kochi,Kerala,Premium
CUST000006,2024-02-23,Noida,Uttar Pradesh,Value
CUST000007,2023-12-10,Warangal,Telangana,Health-focused
CUST000008,2023-05-05,Cuttack,Odisha,Mainstream
CUST000009,2023-08-14,Kochi,Kerala,Value
CUST000010,2023-04-14,Salem,Tamil Nadu,Premium
CUST000011,2024-02-05,Ahmedabad,Gujarat,Value
CUST000012,2023-12-23,Bengaluru,Karnataka,Value
CUST000013,2023-08-15,Rajkot,Gujarat,Value
CUST000014,2023-06-03,Bhopal,Madhya Pradesh,Value
CUST000015,2024-02-17,Saket,Delhi,Health-focused
CUST000016,2023-12-05,Rajkot,Gujarat,Health-focused
CUST000017,2023-11-26,Amritsar,Punjab,Value
CUST000018,2023-11-15,Faridabad,Haryana,Value
CUST000019,2023-10-24,Dibrugarh,Assam,Value
CUST000020,2023-09-25,Ludhiana,Punjab,Value
CUST000021,2023-03-06,Mysuru,Karnataka,Mainstream
CUST000022,2023-06-06,Kota,Rajasthan,Value
CUST000023,2023-07-01,Ludhiana,Punjab,Value
CUST000024,2024-02-11,Silchar,Assam,Mainstream
CUST000025,2023-11-03,Amritsar,Punjab,Premium
CUST000026,2023-08-25,Dibrugarh,Assam,Value
CUST000027,2023-11-03,Howrah,West Bengal,Mainstream
CUST000028,2023-04-05,Kolkata,West Bengal,Mainstream
CUST000029,2024-01-14,Bengaluru,Karnataka,Mainstream
CUST000030,2023-03-02,Lucknow,Uttar Pradesh,Mainstream
CUST000031,2024-01-08,Rajkot,Gujarat,Value
CUST000032,2023-03-01,Silchar,Assam,Mainstream
CUST000033,2023-07-16,Bhubaneswar,Odisha,Value
CUST000034,2024-02-18,Bhopal,Madhya Pradesh,Mainstream
CUST000035,2023-04-16,Bhubaneswar,Odisha,Value
CUST000036,2023-11-22,Hyderabad,Telangana,Value
CUST000037,2023-09-17,Udaipur,Rajasthan,Value
CUST000038,2023-10-19,Madurai,Tamil Nadu,Health-focused
CUST000039,2023-04-08,Noida,Uttar Pradesh,Value
CUST000040,2023-09-07,Bengaluru,Karnataka,Mainstream
CUST000041,2024-02-20,Guwahati,Assam,Mainstream
CUST000042,2023-10-06,Kolkata,West Bengal,Mainstream
CUST000043,2023-03-19,Chandigarh,Punjab,Premium
CUST000044,2024-02-15,Noida,Uttar Pradesh,Health-focused
CUST000045,2023-04-05,Dibrugarh,Assam,Value
CUST000046,2023-08-06,Jaipur,Rajasthan,Value
CUST000047,2024-02-25,Pune,Maharashtra,Mainstream
CUST000048,2023-12-11,Kochi,Kerala,Value
CUST000049,2023-11-29,Varanasi,Uttar Pradesh,Mainstream
CUST000050,2023-05-08,Jalandhar,Punjab,Premium
CUST000051,2023-10-07,Madurai,Tamil Nadu,Value
CUST000052,2024-01-06,Lucknow,Uttar Pradesh,Value
CUST000053,2023-07-15,Thiruvananthapuram,Kerala,Value
CUST000054,2023-12-06,Gaya,Bihar,Value
CUST000055,2023-12-22,Thiruvananthapuram,Kerala,Value
CUST000056,2023-07-27,Kochi,Kerala,Premium
CUST000057,2023-05-15,Lucknow,Uttar Pradesh,Value
CUST000058,2023-05-15,Kozhikode,Kerala,Premium
CUST000059,2023-04-13,Thiruvananthapuram,Kerala,Value
CUST000060,2023-07-14,Nagpur,Maharashtra,Mainstream
CUST000061,2023-10-04,Dwarka,Delhi,Value
CUST000062,2023-09-22,Bhagalpur,Bihar,Mainstream
CUST000063,2023-12-06,New Delhi,Delhi,Value
CUST000064,2023-03-04,Madurai,Tamil Nadu,Premium
CUST000065,2023-04-10,Jabalpur,Madhya Pradesh,Value
CUST000066,2023-05-23,Noida,Uttar Pradesh,Mainstream
CUST000067,2023-11-05,Warangal,Telangana,Value
CUST000068,2023-07-17,Hyderabad,Telangana,Value
CUST000069,2023-04-06,Cuttack,Odisha,Mainstream
CUST000070,2024-01-12,Faridabad,Haryana,Health-focused
CUST000071,2023-10-18,Silchar,Assam,Mainstream
