factor_id,store_id,factor_date,is_holiday,temp_c,rainfall_mm,trend_index,cpi_index
F000000001,ST0001,2023-02-26,False,23.54,8.07,99.95,99.17
F000000002,ST0001,2023-03-05,False,22.74,5.03,101.36,100.14
F000000003,ST0001,2023-03-12,False,20.44,4.29,99.39,101.11
F000000004,ST0001,2023-03-19,False,22.5,5.07,98.78,101.29
F000000005,ST0001,2023-03-26,False,24.64,4.3,99.02,100.22
F000000006,ST0001,2023-04-02,False,22.85,3.28,100.73,101.28
F000000007,ST0001,2023-04-09,False,24.37,4.71,99.86,99.53
F000000008,ST0001,2023-04-16,False,25.85,4.87,100.71,100.86
F000000009,ST0001,2023-04-23,False,24.15,3.99,101.05,100.08
F000000010,ST0001,2023-04-30,False,27.24,3.81,102.12,100.82
F000000011,ST0001,2023-05-07,False,28.68,4.41,99.2,102.1
F000000012,ST0001,2023-05-14,False,27.01,4.58,103.55,101.32
F000000013,ST0001,2023-05-21,False,30.97,4.16,100.92,100.46
F000000014,ST0001,2023-05-28,False,26.69,5.11,102.65,101.25
F000000015,ST0001,2023-06-04,False,32.98,6.26,100.31,100.67
F000000016,ST0001,2023-06-11,False,29.92,10.88,98.83,101.08
F000000017,ST0001,2023-06-18,False,30.69,3.87,100.15,102.46
F000000018,ST0001,2023-06-25,False,30.99,5.41,102.85,102.9
F000000019,ST0001,2023-07-02,False,34.11,4.5,102.87,101.44
F000000020,ST0001,2023-07-09,False,32.43,9.44,101.79,102.07
F000000021,ST0001,2023-07-16,False,34.82,6.67,101.18,102.39
F000000022,ST0001,2023-07-23,False,33.26,9.98,101.69,102.75
F000000023,ST0001,2023-07-30,False,32.65,8.83,98.41,102.16
F000000024,ST0001,2023-08-06,False,33.36,10.92,101.25,101.34
F000000025,ST0001,2023-08-13,False,32.93,13.32,99.42,103.88
F000000026,ST0001,2023-08-20,False,32.09,14.36,101.77,102.74
F000000027,ST0001,2023-08-27,False,30.52,18.91,99.78,101.7
F000000028,ST0001,2023-09-03,False,30.99,17.57,102.89,103.08
F000000029,ST0001,2023-09-10,False,31.7,14.94,101.3,103.64
